bucket_1d,sensor_id,plan_id,energy_1d,total
2019-10-13T00:00:00Z,1,1,10.1879999999946,40785.495
2019-10-14T00:00:00Z,1,1,12.0440000000017,40795.683
2019-10-15T00:00:00Z,1,1,8.0969999999943,40807.728
2019-10-16T00:00:00Z,1,1,5.37900000000082,40815.825
2019-10-17T00:00:00Z,1,1,5.39700000000448,40821.204
2019-10-18T00:00:00Z,1,1,3.54099999999744,40826.601
2019-10-19T00:00:00Z,1,1,3.38500000000204,40830.142
2019-10-20T00:00:00Z,1,1,7.65499999999884,40833.527
2019-10-21T00:00:00Z,1,1,2.69900000000052,40841.182
2019-10-22T00:00:00Z,1,1,7.75200000000041,40843.881
2019-10-23T00:00:00Z,1,1,3.47799999999552,40851.633
2019-10-24T00:00:00Z,1,1,6.71199999999953,40855.111
2019-10-25T00:00:00Z,1,1,5.73400000000402,40861.823
2019-10-26T00:00:00Z,1,1,9.40600000000268,40867.558
2019-10-27T00:00:00Z,1,1,4.41199999999662,40876.966
2019-10-28T00:00:00Z,1,1,10.4010000000053,40881.378
2019-10-29T00:00:00Z,1,1,3.29899999999907,40891.779
2019-10-30T00:00:00Z,1,1,7.35900000000402,40895.079
2019-10-31T00:00:00Z,1,1,9.28299999999581,40902.438
2019-11-01T00:00:00Z,1,1,1.99300000000221,40911.721
2019-11-02T00:00:00Z,1,1,2.72499999999854,40913.714
2019-11-03T00:00:00Z,1,1,4.75600000000122,40916.439
2019-11-04T00:00:00Z,1,1,2.97099999999773,40921.195
2019-11-05T00:00:00Z,1,1,7.59100000000035,40924.166
2019-11-06T00:00:00Z,1,1,3.31100000000151,40931.757
2019-11-07T00:00:00Z,1,1,4.03100000000268,40935.068
2019-11-08T00:00:00Z,1,1,0.814999999995052,40939.099
2019-11-09T00:00:00Z,1,1,4.5480000000025,40939.914
2019-11-10T00:00:00Z,1,1,2.48500000000058,40944.462
2019-11-11T00:00:00Z,1,1,1.60800000000017,40946.947
2019-11-12T00:00:00Z,1,1,6.95100000000093,40948.555
2019-11-13T00:00:00Z,1,1,2.55900000000111,40955.506
2019-11-14T00:00:00Z,1,1,5.34999999999855,40958.067
2019-11-15T00:00:00Z,1,1,2.46499999999651,40963.417
2019-11-16T00:00:00Z,1,1,4.68800000000192,40965.882
2019-11-17T00:00:00Z,1,1,0.932000000000699,40970.57
2019-11-18T00:00:00Z,1,1,0.972000000001572,40971.502
2019-11-19T00:00:00Z,1,1,1.69499999999971,40972.474
2019-11-20T00:00:00Z,1,1,1.77300000000105,40974.169
2019-11-21T00:00:00Z,1,1,1.94099999999889,40975.942
2019-11-22T00:00:00Z,1,1,4.3289999999979,40977.883
2019-11-23T00:00:00Z,1,1,4.06500000000233,40982.212
2019-11-24T00:00:00Z,1,1,3.31100000000151,40986.277
2019-11-25T00:00:00Z,1,1,1.34399999999732,40989.588
2019-11-26T00:00:00Z,1,1,2.32499999999709,40990.932
2019-11-27T00:00:00Z,1,1,1.76400000000285,40993.257
2019-11-28T00:00:00Z,1,1,1.69099999999889,40995.021
2019-11-29T00:00:00Z,1,1,2.16300000000047,40996.712
2019-11-30T00:00:00Z,1,1,4.28600000000006,40998.875
2019-12-01T00:00:00Z,1,1,1.25800000000163,41003.161
2019-12-02T00:00:00Z,1,1,4.62299999999959,41004.419
2019-12-03T00:00:00Z,1,1,2.0789999999979,41009.042
2019-12-04T00:00:00Z,1,1,3.91000000000349,41011.121
2019-12-05T00:00:00Z,1,1,1.32799999999406,41015.031
2019-12-06T00:00:00Z,1,1,2.56599999999889,41016.36
2019-12-07T00:00:00Z,1,1,0.004000000000815,41018.926
2020-01-30T00:00:00Z,1,1,4.25,41154.225
2020-01-31T00:00:00Z,1,1,3.25100000000384,41158.475
2020-02-01T00:00:00Z,1,1,1.76499999999942,41161.726
2020-02-02T00:00:00Z,1,1,1.23599999999715,41163.491
2020-02-03T00:00:00Z,1,1,1.76699999999983,41164.727
2020-02-04T00:00:00Z,1,1,3.40000000000146,41166.494
2020-02-05T00:00:00Z,1,1,8.50699999999779,41169.894
2020-02-06T00:00:00Z,1,1,8.76600000000326,41178.401
